Row Labels,Exercise Sports and Recreation
15,37.88492063
16,35.78858815
17,32.55946792
18,19.48195329
19,16.82453638
20,15.96751412
21,17.26415094
22,14.87338804
23,15.60766962
24,14.0672182
25,15.27680798
26,12.53228228
27,16.71905424
28,13.18973359
29,13.63428571
30,13.14277389
31,13.13228942
32,13.55240642
33,15.76290832
34,13.67082035
35,14.89105263
36,16.73665111
37,15.08753709
38,15.71361257
39,16.32555781
40,15.58829676
41,16.58082611
42,15.2289916
43,15.36089444
44,15.22073234
45,15.00281849
46,14.18970341
47,14.69172526
48,14.55715935
49,14.05402299
50,14.05854241
51,12.34622468
52,11.87821297
53,12.97512438
54,15.12412476
55,12.2750953
56,10.1024984
57,11.28917283
58,9.868632708
59,10.7580756
60,11.12099644
61,10.51240876
62,10.52239939
63,11.74654378
64,11.55287714
65,10.91945289
66,11.3906119
67,11.8464991
68,10.87093942
69,11.17482517
70,10.1627907
71,10.12216216
72,11.0540265
73,11.04282407
74,10.42841287
75,10.6638246
76,10.02264151
77,9.887816647
78,7.651102464
79,8.212413793
80,7.397201599
85,7.288493608
